sector,n,mean_esg,sd_esg,mean_env,mean_gov,mean_soc
Energy,20,32.34,6.65,16.92,6.5,8.93
Basic Materials,19,26.72,5.52,12.62,6.57,7.54
Utilities,28,26.71,3.79,11.81,5.47,9.44
Consumer Defensive,33,25.45,5.25,8.73,5.87,10.84
Industrials,60,24.01,7.12,7.1,6.08,10.84
Financial Services,63,21.19,4.4,1.41,10.14,9.63
Healthcare,53,20.58,5.18,1.79,7.31,11.48
Communication Services,14,19.41,6.58,1.86,7.41,10.14
Consumer Cyclical,51,19.23,5.85,5.3,5.55,8.39
Technology,61,16.92,4.99,4.29,5.76,6.88
Real Estate,28,13.09,2.62,3.69,5.75,3.64
