term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),25.425,2.5659,9.9089,0,20.3813,30.4688
log_employees,0.1323,0.2301,0.5749,0.5657,-0.32,0.5845
sectorCommunication Services,-7.4739,1.9309,-3.8708,1e-4,-11.2694,-3.6784
sectorConsumer Cyclical,-7.6308,1.4765,-5.1683,0,-10.5331,-4.7285
sectorConsumer Defensive,-1.3916,1.5738,-0.8842,0.3771,-4.4851,1.702
sectorEnergy,5.7352,1.7466,3.2836,0.0011,2.3019,9.1685
sectorFinancial Services,-5.4939,1.4218,-3.8639,1e-4,-8.2889,-2.699
sectorHealthcare,-6.3473,1.4615,-4.3431,0,-9.2201,-3.4744
sectorIndustrials,-2.8097,1.4377,-1.9542,0.0513,-5.6359,0.0165
sectorReal Estate,-13.3608,1.6764,-7.9699,0,-16.6561,-10.0654
sectorTechnology,-9.821,1.432,-6.8581,0,-12.6359,-7.006
sectorUtilities,0.0505,1.6125,0.0313,0.9751,-3.1193,3.2202
