comparison,diff,lwr,upr,p_adj
Consumer Cyclical-Basic Materials,-7.4883,-12.1841,-2.7926,0
Real Estate-Basic Materials,-13.6301,-18.823,-8.4372,0
Technology-Basic Materials,-9.7912,-14.3813,-5.2011,0
Energy-Communication Services,12.9207,6.8327,19.0088,0
Consumer Defensive-Consumer Cyclical,6.218,2.3149,10.1211,0
Energy-Consumer Cyclical,13.1075,8.4981,17.717,0
Utilities-Consumer Cyclical,7.4833,3.374,11.5925,0
Real Estate-Consumer Defensive,-12.3597,-16.8487,-7.8708,0
Technology-Consumer Defensive,-8.5209,-12.2962,-4.7455,0
Financial Services-Energy,-11.1445,-15.6286,-6.6605,0
Healthcare-Energy,-11.7576,-16.3425,-7.1728,0
Industrials-Energy,-8.3217,-12.8327,-3.8107,0
Real Estate-Energy,-19.2493,-24.3643,-14.1343,0
Technology-Energy,-15.4104,-19.9121,-10.9087,0
Real Estate-Financial Services,-8.1048,-12.0729,-4.1366,0
Real Estate-Healthcare,-7.4916,-11.5734,-3.4099,0
Real Estate-Industrials,-10.9276,-14.9262,-6.9291,0
Technology-Industrials,-7.0887,-10.2654,-3.9121,0
Utilities-Real Estate,13.625,8.9557,18.2943,0
Utilities-Technology,9.7861,5.798,13.7742,0
Real Estate-Consumer Cyclical,-6.1417,-10.251,-2.0325,1e-4
Utilities-Healthcare,6.1334,2.0516,10.2151,1e-4
Industrials-Consumer Cyclical,4.7859,1.4584,8.1134,2e-4
Energy-Consumer Defensive,6.8895,1.9387,11.8404,4e-4
Utilities-Financial Services,5.5202,1.5521,9.4884,4e-4
Technology-Financial Services,-4.2659,-7.4042,-1.1276,7e-4
Healthcare-Basic Materials,-6.1384,-10.8101,-1.4668,0.0013
Utilities-Communication Services,7.2964,1.5777,13.0151,0.0021
Healthcare-Consumer Defensive,-4.8681,-8.7422,-0.994,0.0028
Financial Services-Basic Materials,-5.5253,-10.0981,-0.9526,0.0051
Communication Services-Basic Materials,-7.3015,-13.4552,-1.1479,0.0066
Financial Services-Consumer Defensive,-4.255,-8.0092,-0.5007,0.0123
Technology-Healthcare,-3.6528,-6.9335,-0.3721,0.0153
Real Estate-Communication Services,-6.3286,-12.0473,-0.6099,0.0165
Utilities-Energy,-5.6243,-10.7393,-0.5093,0.0179
Consumer Defensive-Communication Services,6.0312,0.4587,11.6036,0.0216
Industrials-Healthcare,3.436,0.1426,6.7294,0.0325
Energy-Basic Materials,5.6192,0.0222,11.2162,0.0481
Technology-Real Estate,3.8389,-0.1492,7.827,0.0711
Industrials-Financial Services,2.8229,-0.3287,5.9744,0.1268
Industrials-Communication Services,4.599,-0.5865,9.7846,0.1362
Technology-Consumer Cyclical,-2.3029,-5.6178,1.0121,0.4717
Utilities-Industrials,2.6974,-1.3012,6.6959,0.518
Financial Services-Consumer Cyclical,1.963,-1.3279,5.2539,0.6967
Industrials-Basic Materials,-2.7025,-7.3016,1.8967,0.7159
Technology-Communication Services,-2.4897,-7.6672,2.6878,0.8993
Healthcare-Consumer Cyclical,1.3499,-2.0771,4.7769,0.9726
Industrials-Consumer Defensive,-1.4321,-5.2185,2.3543,0.9795
Financial Services-Communication Services,1.7762,-3.3859,6.9383,0.9899
Utilities-Consumer Defensive,1.2653,-3.2237,5.7542,0.998
Consumer Defensive-Basic Materials,-1.2703,-6.3017,3.761,0.9992
Healthcare-Communication Services,1.1631,-4.0868,6.413,0.9998
Healthcare-Financial Services,-0.6131,-3.8695,2.6433,0.9999
Utilities-Basic Materials,-0.0051,-5.198,5.1878,1
Consumer Cyclical-Communication Services,-0.1868,-5.4582,5.0845,1
